
--[강의가능과목]
--강의가능과목고유번호, 전체과목번호(FK), 교사고유번호(FK)
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 6, 6);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 4, 6);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 2, 6);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 21, 6);

INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 1, 7);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 2, 7);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 3, 7);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 4, 7);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 11, 7);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 16, 7);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 17, 7);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 18, 7);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 19, 7);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 20, 7);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 29, 7);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 30, 7);

INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 1, 8);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 2, 8);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 3, 8);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 4, 8);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 6, 8);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 15, 8);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 17, 8);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 18, 8);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 19, 8);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 32, 8);

INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 1, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 2, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 3, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 4, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 6, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 7, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 8, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 6, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 11, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 17, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 18, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 23, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 24, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 25, 9);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 27, 9);

INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 1, 10);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 2, 10);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 3, 10);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 4, 10);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 16, 10);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 21, 10);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 26, 10);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 27, 10);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 28, 10);
INSERT INTO tblPossibleSubject VALUES(possibleSubjectSeq.nextVal, 29, 10);
