
--성적
--INSERT INTO tblScore VALUES(scoreSeq.nextval, 필기, 실기, 출석, 시험고유번호, 수강신청고유번호);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 40, 30, 5, 26);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 5, 27);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 32, 30, 5, 28);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 5, 29);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 5, 30);


--6과목
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 6, 1);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 28, 6, 2);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 35, 30, 6, 3);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 19, 38, 30, 6, 4);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 40, 30, 6, 5);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 6, 6);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 38, 30, 6, 7);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 6, 8);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 32, 30, 6, 9);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 6, 10);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 6, 11);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 6, 12);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 6, 13);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 32, 28, 6, 14);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 35, 30, 6, 15);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 6, 16);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 40, 30, 6, 17);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 26, 36, 30, 6, 18);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 6, 19);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 6, 20);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 6, 21);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 29, 38, 30, 6, 22);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 39, 30, 6, 23);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 33, 30, 6, 24);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 28, 6, 25);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 40, 30, 6, 26);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 6, 27);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 32, 30, 6, 28);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 6, 29);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 6, 30);


--현재 1강의실, 1과목
--1강의실(30)명 
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 13, 61);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 28, 13, 62);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 13, 63);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 35, 30, 13, 64);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 40, 30, 13, 65);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 13, 66);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 13, 67);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 13, 68);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 32, 30, 13, 69);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 13, 70);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 13, 71);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 13, 72);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 13, 73);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 32, 28, 13, 74);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 35, 30, 13, 75);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 13, 76);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 40, 30, 13, 77);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 26, 36, 30, 13, 78);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 13, 79);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 13, 80);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 13, 81);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 13, 82);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 39, 30, 13, 83);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 33, 30, 13, 84);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 28, 13, 85);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 40, 30, 13, 86);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 13, 87);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 13, 88);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 13, 89);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 31, 30, 13, 90);

--2과목

INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 14, 61);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 28, 14, 62);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 35, 30, 14, 63);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 14, 64);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 40, 30, 14, 65);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 26, 36, 30, 14, 66);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 14, 67);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 14, 68);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 14, 69);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 35, 30, 14, 70);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 40, 30, 14, 71);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 14, 72);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 32, 30, 14, 73);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 14, 74);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 14, 75);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 14, 76);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 32, 28, 14, 77);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 14, 78);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 14, 79);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 39, 30, 14, 80);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 33, 30, 14, 81);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 28, 14, 82);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 14, 83);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 14, 84);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 14, 85);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 40, 30, 14, 86);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 14, 87);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 14, 88);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 14, 89);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 14, 90);

--3과목

INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 15, 61);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 28, 15, 62);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 35, 30, 15, 63);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 19, 38, 30, 15, 64);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 40, 30, 15, 65);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 15, 66);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 38, 30, 15, 67);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 15, 68);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 32, 30, 15, 69);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 25, 35, 30, 15, 70);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 15, 71);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 15, 72);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 15, 73);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 32, 28, 15, 74);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 35, 30, 15, 75);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 15, 76);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 40, 30, 15, 77);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 26, 36, 30, 15, 78);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 15, 79);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 24, 32, 30, 15, 70);

INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 15, 81);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 29, 38, 30, 15, 82);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 21, 39, 30, 15, 83);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 22, 33, 30, 15, 84);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 28, 15, 85);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 30, 40, 30, 15, 86);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 33, 30, 15, 87);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 32, 30, 15, 88);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 15, 89);
INSERT INTO tblScore VALUES(scoreSeq.nextval, 27, 34, 30, 15, 90);
