
--강의평가
--강의평가고유번호, 평가내용, 평가점수, 개설과목고유번호, 수강신청고유번호
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '매일 8시간씩 나가다보니까 복습없이는 따라가기 힘들거같아요', 10, 1, 27);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '선생님이 시키시는대로만 했는데 실력이 아주 좋아진거 같습니다!!ㅎ', 10, 1, 28);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '자세히 알려주시는데도 따라가기가 벅찼습니다ㅜ', 10, 1, 29);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '첫 과목이 끝났는데 쌍용교육센터 오길 잘했단 생각이 듭니다!', 10, 1, 30);

--종료1강의실 2과목(30명)
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '오라클은 자바보다 더 어렵네요 ㅜㅜ', 10, 2, 1);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '두번째 과목은 더 빨리 지나가버린 거 같아요', 10, 2, 2);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 조금 힘들었습니다', 9, 2, 3);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '데이터베이스도 자세히 알려주셔서 많이 배운거 같습니다!', 10, 2, 4);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '항상 좋은 얘기 해주셔서 힘 얻으며 수업 잘 받고있습니다.', 10, 2, 5);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용은 이해하기 어려웠지만 진도 속도도 좋았고 질문하면 친절하게 알려주셔서 좋았습니다!. ', 10, 2, 6);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념부분보다 실습하는 부분에 초점을 맞춰서 실무에 적용할 때 유용할것 같습니다.', 10, 2, 7);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '프로젝트 기간이 짧아서 힘들었습니다', 7, 2, 8);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습문제를 질문하면 답을 바로주기보다 방향을 알려주셔서 혼자공부하기 좋았습니다.', 10, 2, 9);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '조별로 프로젝트를 하는것 보다 개인으로 진행하고싶습니다. 강의는 좋았습니다.', 9, 2, 10);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '오라클은 자바보다 더 어렵네요 ㅜㅜ', 10, 2, 11);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '두번째 과목은 더 빨리 지나가버린 거 같아요', 10, 2, 12);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 조금 힘들었습니다', 9, 2, 13);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '데이터베이스도 자세히 알려주셔서 많이 배운거 같습니다!', 10, 2, 14);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '항상 좋은 얘기 해주셔서 힘 얻으며 수업 잘 받고있습니다.', 10, 2, 15);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용은 이해하기 어려웠지만 진도 속도도 좋았고 질문하면 친절하게 알려주셔서 좋았습니다!. ', 10, 2, 16);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념부분보다 실습하는 부분에 초점을 맞춰서 실무에 적용할 때 유용할것 같습니다.', 10, 2, 17);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '프로젝트 기간이 짧아서 힘들었습니다', 7, 2, 18);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습문제를 질문하면 답을 바로주기보다 방향을 알려주셔서 혼자공부하기 좋았습니다.', 10, 2, 19);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '조별로 프로젝트를 하는것 보다 개인으로 진행하고싶습니다. 강의는 좋았습니다.', 9, 2, 20);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '오라클은 자바보다 더 어렵네요 ㅜㅜ', 10, 2, 21);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '두번째 과목은 더 빨리 지나가버린 거 같아요', 10, 2, 22);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 조금 힘들었습니다', 9, 2, 23);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '데이터베이스도 자세히 알려주셔서 많이 배운거 같습니다!', 10, 2, 24);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '항상 좋은 얘기 해주셔서 힘 얻으며 수업 잘 받고있습니다.', 10, 2, 25);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용은 이해하기 어려웠지만 진도 속도도 좋았고 질문하면 친절하게 알려주셔서 좋았습니다!. ', 10, 2, 26);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념부분보다 실습하는 부분에 초점을 맞춰서 실무에 적용할 때 유용할것 같습니다.', 10, 2, 27);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '프로젝트 기간이 짧아서 힘들었습니다', 7, 2, 28);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습문제를 질문하면 답을 바로주기보다 방향을 알려주셔서 혼자공부하기 좋았습니다.', 10, 2, 29);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '조별로 프로젝트를 하는것 보다 개인으로 진행하고싶습니다. 강의는 좋았습니다.', 9, 2, 30);

--종료1강의실 3과목(30명)
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 3, 1);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 3, 2);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 3, 3);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 3, 4);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 3, 5);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 3, 6);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 3, 7);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 3, 8);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 3, 9);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 3, 10);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 3, 11);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 3, 12);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 3, 13);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 3, 14);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 3, 15);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 3, 16);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 3, 17);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 3, 18);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 3, 19);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 3, 20);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 3, 21);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 3, 22);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 3, 23);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 3, 24);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 3, 25);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 3, 26);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 3, 27);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 3, 28);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 3, 29);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 3, 30);

--종료1강의실, 4과목
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 4, 1);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 4, 2);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 4, 3);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 4, 4);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 4, 5);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 4, 6);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 4, 7);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 4, 8);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 4, 9);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 4, 10);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 4, 11);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 4, 12);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 4, 13);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 4, 14);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 4, 15);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 4, 16);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 4, 17);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 4, 18);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 4, 19);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 4, 20);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 4, 21);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 4, 22);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 4, 23);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 4, 24);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 4, 25);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 4, 26);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 4, 27);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 4, 28);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 4, 29);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 4, 30);

--종료1강의실, 5과목
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 5, 1);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 5, 2);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 5, 3);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 5, 4);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 5, 5);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 5, 6);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 5, 7);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 5, 8);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 5, 9);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 5, 10);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 5, 11);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 5, 12);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 5, 13);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 5, 14);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 5, 15);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 5, 16);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 5, 17);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 5, 18);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 5, 19);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 5, 20);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 5, 21);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 5, 22);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 5, 23);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 5, 24);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 5, 25);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 5, 26);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 5, 27);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 5, 28);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 5, 29);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 5, 30);

--종료1강의실, 6과목
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 6, 1);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 6, 2);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 6, 3);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 6, 4);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 6, 5);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 6, 6);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 6, 7);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 6, 8);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 6, 9);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 6, 10);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 6, 11);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 6, 12);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 6, 13);
